method,bench,instance,seed,n_evals,best_score,anytime_mean_best_so_far,file
asha,lcbench,3945,0,40,0.24190522730350494,0.3740231540054083,asha_lcbench_inst3945_seed0.csv
cats,lcbench,3945,0,20,7.9304962158203125,16.926923561096192,cats_lcbench_inst3945_seed0.csv
catsplus,lcbench,3945,0,0,1000000000.0,1000000000.0,catsplus_lcbench_inst3945_seed0.csv
catsplus_v2,lcbench,3945,0,20,10.090531349182129,120.49753317832946,catsplus_v2_lcbench_inst3945_seed0.csv
random,lcbench,3945,0,20,11.864297866821289,52.37317972183227,random_lcbench_inst3945_seed0.csv
tpe,lcbench,3945,0,20,11.073633193969727,36.793109607696536,tpe_lcbench_inst3945_seed0.csv
asha,lcbench,3945,1,40,0.2532076835632324,0.38220595344901087,asha_lcbench_inst3945_seed1.csv
cats,lcbench,3945,1,20,18.177066802978516,35.516540908813475,cats_lcbench_inst3945_seed1.csv
catsplus,lcbench,3945,1,0,1000000000.0,1000000000.0,catsplus_lcbench_inst3945_seed1.csv
catsplus_v2,lcbench,3945,1,20,27.602291107177734,42.802371215820315,catsplus_v2_lcbench_inst3945_seed1.csv
random,lcbench,3945,1,20,6.074455738067627,12.44495506286621,random_lcbench_inst3945_seed1.csv
tpe,lcbench,3945,1,20,8.914992332458496,23.960493516921996,tpe_lcbench_inst3945_seed1.csv
asha,lcbench,3945,2,40,0.36108094453811646,0.4057638354599476,asha_lcbench_inst3945_seed2.csv
cats,lcbench,3945,2,20,26.84927749633789,34.88728485107422,cats_lcbench_inst3945_seed2.csv
catsplus,lcbench,3945,2,0,1000000000.0,1000000000.0,catsplus_lcbench_inst3945_seed2.csv
catsplus_v2,lcbench,3945,2,20,15.542911529541016,20.69073905944824,catsplus_v2_lcbench_inst3945_seed2.csv
random,lcbench,3945,2,20,31.4844970703125,66.20855693817138,random_lcbench_inst3945_seed2.csv
tpe,lcbench,3945,2,20,18.861751556396484,22.419185447692872,tpe_lcbench_inst3945_seed2.csv
asha,lcbench,7593,0,40,0.7710778117179871,1.3731768935918809,asha_lcbench_inst7593_seed0.csv
cats,lcbench,7593,0,20,44.67061233520508,85.52044277191162,cats_lcbench_inst7593_seed0.csv
catsplus,lcbench,7593,0,0,1000000000.0,1000000000.0,catsplus_lcbench_inst7593_seed0.csv
catsplus_v2,lcbench,7593,0,20,10.202088356018066,23.65517363548279,catsplus_v2_lcbench_inst7593_seed0.csv
random,lcbench,7593,0,20,41.583251953125,197.77691993713378,random_lcbench_inst7593_seed0.csv
tpe,lcbench,7593,0,20,18.69720458984375,170.26591300964355,tpe_lcbench_inst7593_seed0.csv
asha,lcbench,7593,1,40,0.6389585733413696,1.3419485226273538,asha_lcbench_inst7593_seed1.csv
cats,lcbench,7593,1,20,20.450054168701172,206.2707103729248,cats_lcbench_inst7593_seed1.csv
catsplus,lcbench,7593,1,0,1000000000.0,1000000000.0,catsplus_lcbench_inst7593_seed1.csv
catsplus_v2,lcbench,7593,1,20,143.64315795898438,143.64315795898438,catsplus_v2_lcbench_inst7593_seed1.csv
random,lcbench,7593,1,20,62.532386779785156,84.28780059814453,random_lcbench_inst7593_seed1.csv
tpe,lcbench,7593,1,20,13.041231155395508,60.39982633590698,tpe_lcbench_inst7593_seed1.csv
asha,lcbench,7593,2,40,0.9101086258888245,1.4129061475396156,asha_lcbench_inst7593_seed2.csv
cats,lcbench,7593,2,20,89.88492584228516,151.1951946258545,cats_lcbench_inst7593_seed2.csv
catsplus,lcbench,7593,2,0,1000000000.0,1000000000.0,catsplus_lcbench_inst7593_seed2.csv
catsplus_v2,lcbench,7593,2,20,19.471134185791016,117.92312660217286,catsplus_v2_lcbench_inst7593_seed2.csv
random,lcbench,7593,2,20,87.41392517089844,106.31248970031739,random_lcbench_inst7593_seed2.csv
tpe,lcbench,7593,2,20,20.514198303222656,45.69248008728027,tpe_lcbench_inst7593_seed2.csv
asha,lcbench,34539,0,40,0.5113402009010315,0.5739175096154213,asha_lcbench_inst34539_seed0.csv
cats,lcbench,34539,0,20,32.396480560302734,41.90293655395508,cats_lcbench_inst34539_seed0.csv
catsplus,lcbench,34539,0,0,1000000000.0,1000000000.0,catsplus_lcbench_inst34539_seed0.csv
catsplus_v2,lcbench,34539,0,20,16.293136596679688,18.240235900878908,catsplus_v2_lcbench_inst34539_seed0.csv
random,lcbench,34539,0,20,5.608702659606934,9.285084867477417,random_lcbench_inst34539_seed0.csv
