method,bench,instance,seed,n_evals,best_score,anytime_mean_best_so_far,file
cats,lcbench,3945,0,1000,1.7669363021850586,7.156718421697617,cats_lcbench_inst3945_seed0.csv
catsplus,lcbench,3945,0,1000,1.2454043626785278,3.267400628566742,catsplus_lcbench_inst3945_seed0.csv
catsplus_v2,lcbench,3945,0,1000,1.1073517799377441,3.3000243080854417,catsplus_v2_lcbench_inst3945_seed0.csv
random,lcbench,3945,0,1000,4.51404333114624,6.690809138298035,random_lcbench_inst3945_seed0.csv
tpe,lcbench,3945,0,1000,1.3374394178390503,3.143885412693024,tpe_lcbench_inst3945_seed0.csv
cats,lcbench,3945,1,1000,1.8784939050674438,3.884257256746292,cats_lcbench_inst3945_seed1.csv
catsplus,lcbench,3945,1,1000,1.945428490638733,5.276924767851829,catsplus_lcbench_inst3945_seed1.csv
catsplus_v2,lcbench,3945,1,1000,0.9595378637313843,2.6691671624183653,catsplus_v2_lcbench_inst3945_seed1.csv
random,lcbench,3945,1,1000,3.7010669708251953,5.226642972946167,random_lcbench_inst3945_seed1.csv
tpe,lcbench,3945,1,1000,3.503052234649658,4.227178453922272,tpe_lcbench_inst3945_seed1.csv
cats,lcbench,3945,2,1000,1.355567455291748,3.2582849099636078,cats_lcbench_inst3945_seed2.csv
catsplus,lcbench,3945,2,1000,1.4685195684432983,5.302149356722832,catsplus_lcbench_inst3945_seed2.csv
catsplus_v2,lcbench,3945,2,1000,1.0473895072937012,2.949320560693741,catsplus_v2_lcbench_inst3945_seed2.csv
random,lcbench,3945,2,1000,4.449897766113281,7.662006297111511,random_lcbench_inst3945_seed2.csv
tpe,lcbench,3945,2,1000,3.5713813304901123,4.594158487081527,tpe_lcbench_inst3945_seed2.csv
cats,lcbench,7593,0,1000,5.2224345207214355,10.245924321174622,cats_lcbench_inst7593_seed0.csv
catsplus,lcbench,7593,0,1000,5.795561790466309,13.14195072078705,catsplus_lcbench_inst7593_seed0.csv
catsplus_v2,lcbench,7593,0,1000,2.2801015377044678,10.89815857553482,catsplus_v2_lcbench_inst7593_seed0.csv
random,lcbench,7593,0,1000,5.232195854187012,10.98545223236084,random_lcbench_inst7593_seed0.csv
tpe,lcbench,7593,0,1000,2.793266534805298,8.666430916309357,tpe_lcbench_inst7593_seed0.csv
cats,lcbench,7593,1,1000,3.9172098636627197,13.64265168261528,cats_lcbench_inst7593_seed1.csv
catsplus,lcbench,7593,1,1000,2.9048242568969727,13.669704543113708,catsplus_lcbench_inst7593_seed1.csv
catsplus_v2,lcbench,7593,1,1000,3.613215446472168,11.663603933095931,catsplus_v2_lcbench_inst7593_seed1.csv
random,lcbench,7593,1,1000,5.119243621826172,13.464766708374023,random_lcbench_inst7593_seed1.csv
tpe,lcbench,7593,1,1000,2.853228807449341,5.248905701637268,tpe_lcbench_inst7593_seed1.csv
cats,lcbench,7593,2,1000,5.820662498474121,11.81431712436676,cats_lcbench_inst7593_seed2.csv
catsplus,lcbench,7593,2,1000,3.92278790473938,8.383151134729385,catsplus_lcbench_inst7593_seed2.csv
