method,bench,instance,seed,n_evals,best_score,anytime_mean_best_so_far,file
cats,lcbench,126025,0,1000,1.2802660465240479,4.567653787970543,cats_lcbench_inst126025_seed0.csv
random,lcbench,126025,0,1000,2.9452638626098633,4.189543097019196,random_lcbench_inst126025_seed0.csv
tpe,lcbench,126025,0,1000,1.858971357345581,2.5990364282131195,tpe_lcbench_inst126025_seed0.csv
cats,lcbench,126025,1,1000,1.26213800907135,3.3271300008296967,cats_lcbench_inst126025_seed1.csv
random,lcbench,126025,1,1000,2.9661810398101807,3.1600905363559724,random_lcbench_inst126025_seed1.csv
tpe,lcbench,126025,1,1000,0.9107313752174377,1.3918613874316215,tpe_lcbench_inst126025_seed1.csv
cats,lcbench,126025,2,1000,1.1101406812667847,3.1286897904872895,cats_lcbench_inst126025_seed2.csv
random,lcbench,126025,2,1000,2.617563247680664,2.7979938440322876,random_lcbench_inst126025_seed2.csv
tpe,lcbench,126025,2,1000,1.0459949970245361,1.4484964283704758,tpe_lcbench_inst126025_seed2.csv
cats,lcbench,167201,0,1000,2.03885817527771,4.288563059329986,cats_lcbench_inst167201_seed0.csv
random,lcbench,167201,0,1000,2.5952517986297607,4.045208406448364,random_lcbench_inst167201_seed0.csv
tpe,lcbench,167201,0,1000,1.8031924962997437,2.550301059961319,tpe_lcbench_inst167201_seed0.csv
cats,lcbench,167201,1,1000,1.9077777862548828,3.9617158629894256,cats_lcbench_inst167201_seed1.csv
random,lcbench,167201,1,1000,3.1641957759857178,6.375420325517655,random_lcbench_inst167201_seed1.csv
tpe,lcbench,167201,1,1000,2.7723495960235596,3.215936279296875,tpe_lcbench_inst167201_seed1.csv
cats,lcbench,167201,2,1000,1.9733179807662964,4.15580797457695,cats_lcbench_inst167201_seed2.csv
random,lcbench,167201,2,1000,2.8894851207733154,3.631591611623764,random_lcbench_inst167201_seed2.csv
tpe,lcbench,167201,2,1000,2.7068095207214355,3.1802685225009917,tpe_lcbench_inst167201_seed2.csv
cats,lcbench,168868,0,1000,0.9665101766586304,2.780185096979141,cats_lcbench_inst168868_seed0.csv
random,lcbench,168868,0,1000,1.8673381805419922,5.264735717296601,random_lcbench_inst168868_seed0.csv
tpe,lcbench,168868,0,1000,0.6415985822677612,1.842979552745819,tpe_lcbench_inst168868_seed0.csv
cats,lcbench,168868,1,1000,1.037628173828125,3.0293408007621765,cats_lcbench_inst168868_seed1.csv
random,lcbench,168868,1,1000,3.8516697883605957,4.862051547050476,random_lcbench_inst168868_seed1.csv
tpe,lcbench,168868,1,1000,1.9231170415878296,3.2127596964836123,tpe_lcbench_inst168868_seed1.csv
cats,lcbench,168868,2,1000,1.1854420900344849,3.9962401218414305,cats_lcbench_inst168868_seed2.csv
random,lcbench,168868,2,1000,2.9619975090026855,7.025516872882843,random_lcbench_inst168868_seed2.csv
tpe,lcbench,168868,2,1000,1.104562759399414,2.2560705746412277,tpe_lcbench_inst168868_seed2.csv
cats,lcbench,189865,0,1000,0.8424023389816284,2.261924559473991,cats_lcbench_inst189865_seed0.csv
random,lcbench,189865,0,1000,1.0948015451431274,2.122913999080658,random_lcbench_inst189865_seed0.csv
tpe,lcbench,189865,0,1000,0.27764174342155457,1.2435831559598447,tpe_lcbench_inst189865_seed0.csv
cats,lcbench,189865,1,1000,0.5830308198928833,1.9822857860922813,cats_lcbench_inst189865_seed1.csv
random,lcbench,189865,1,1000,1.4420247077941895,2.8415683426856995,random_lcbench_inst189865_seed1.csv
tpe,lcbench,189865,1,1000,1.3458062410354614,1.651945483803749,tpe_lcbench_inst189865_seed1.csv
cats,lcbench,189865,2,1000,0.6081312894821167,2.2015035005807877,cats_lcbench_inst189865_seed2.csv
random,lcbench,189865,2,1000,2.0012073516845703,2.3547767481803894,random_lcbench_inst189865_seed2.csv
tpe,lcbench,189865,2,1000,1.2021757364273071,1.903280656337738,tpe_lcbench_inst189865_seed2.csv
cats,lcbench,189908,0,1000,1.799009084701538,3.8755514430999756,cats_lcbench_inst189908_seed0.csv
random,lcbench,189908,0,1000,5.441366195678711,6.807657361030579,random_lcbench_inst189908_seed0.csv
tpe,lcbench,189908,0,1000,1.1463968753814697,3.120671585559845,tpe_lcbench_inst189908_seed0.csv
cats,lcbench,189908,1,1000,2.794661045074463,8.68848576760292,cats_lcbench_inst189908_seed1.csv
random,lcbench,189908,1,1000,4.756681442260742,8.67514920949936,random_lcbench_inst189908_seed1.csv
tpe,lcbench,189908,1,1000,1.5382431745529175,3.4527647713422773,tpe_lcbench_inst189908_seed1.csv
cats,lcbench,189908,2,1000,4.971429824829102,9.255405146598816,cats_lcbench_inst189908_seed2.csv
random,lcbench,189908,2,1000,5.074620723724365,8.169929701328277,random_lcbench_inst189908_seed2.csv
tpe,lcbench,189908,2,1000,1.2746882438659668,2.5667948828935625,tpe_lcbench_inst189908_seed2.csv
